Rank,County,Population,
1,MiamiDade,"2,715,516",
2,Broward,"1,909,151",
3,Palm Beach,"1,446,277",
4,Hillsborough,"1,378,883",
5,Orange,"1,321,194",
6,Pinellas,"957,875",
7,Duval,"924,229",
8,Lee,"718,679",
9,Polk,"668,671",
10,Brevard,"576,808",
11,Volusia,"527,634",
12,Pasco,"510,593",
13,Seminole,"455,086",
14,Sarasota,"412,144",
15,Manatee,"373,853",
16,Collier,"363,922",
17,Marion,"348,371",
18,Osceola,"338,619",
19,Lake,"335,362",
20,Escambia,"311,522",
21,St Lucie,"305,591",
22,Leon,"288,102",
23,Alachua,"263,148",
24,St Johns,"235,503",
25,Clay,"207,291",
26,Okaloosa,"200,737",
27,Hernando,"182,696",
28,Bay,"182,482",
29,Charlotte,"176,954",
30,Santa Rosa,"170,442",
31,Martin,"157,581",
32,Indian River,"150,984",
33,Citrus,"143,087",
34,Sumter,"120,999",
35,Flagler,"107,139",
36,Highlands,"102,101",
37,Nassau,"80,578",
38,Monroe,"76,325",
39,Putnam,"72,766",
40,Columbia,"69,105",
41,Walton,"65,858",
42,Jackson,"48,472",
43,Gadsden,"46,017",
44,Suwannee,"43,924",
45,Okeechobee,"40,572",
46,Hendry,"40,127",
47,Levy,"39,961",
48,DeSoto,"36,399",
49,Wakulla,"31,877",
50,Baker,"27,785",
51,Hardee,"27,228",
52,Bradford,"26,979",
53,Washington,"24,566",
54,Taylor,"22,098",
55,Holmes,"19,430",
56,Madison,"18,474",
57,Gilchrist,"17,615",
58,Dixie,"16,437",
59,Gulf,"16,055",
60,Union,"15,239",
61,Calhoun,"14,444",
62,Hamilton,"14,269",
63,Jefferson,"14,105",
64,Glades,"13,363",
65,Franklin,"11,736",
66,Lafayette,"8,744",
67,Liberty,"8,365",
